index,name,image,video_url,desc
,다리뻗치기/레그프레스,leg-press.jpg,https://youtu.be/Qg5k-k1srCQ?t=340,"하반신 근력 강화 및 각 관절의 균형감각을 개선해줍니다. 허리는 등받이에 바짝 붙이고, 힘은 다리에 집중시키세요."
,등허리지압기/스트레칭롤러,stretch-roller.jpg,https://youtu.be/gIScEWa3sQE?t=413,"상체 근육을 부드럽게 풀어주고 팔과 어깨의 근육을 강화시켜줍니다. 손잡이를 잡고 양 옆으로 움직이면서 천천히 지압하되, 그냥 기대서 하지 말고 등으로 약간 지압봉을 누르면서 움직이세요."
,상체근육풀기/어깨근육풀기/워밍암,arm-warmup.jpg,https://youtu.be/gIScEWa3sQE?t=875,팔과 옆구리의 스트레칭을 통해 어깨 관절의 유연성을 늘리고 근육 강화에도 도움이 됩니다. 신체 유연성을 고려해 무리하지 말고 팔과 옆구리를 천천히 충분히 늘려주세요.
,물구나무/거꾸로매달리기,upside-down.jpg,https://youtu.be/fwRFPsrGhoM,"전신 혈액순환을 증진시키고 자세를 보정해주며 허리 통증을 완화시켜줍니다. 고혈압 및 척추 질환 환자의 경우 각별한 주의가 필요하며, 장시간 운동은 삼가해주세요."
,스텝사이클/워킹트레이너머신/크로스컨트리/달리기,step-cycle.jpg,https://youtu.be/ejSkr6BWha8?t=131,"팔을 함께 움직이면서 제자리 달리기를 할 수 있어 유산소 운동 효과가 큽니다. 자세와 움직임에 따라 관절에 무리가 갈 수 있으니 주의하시고, 손잡이를 반드시 잡되 힘을 너무 많이 주지 마세요."
,양팔줄당기기,rope-pull.jpg,https://youtu.be/9xCshOqLmHo,"팔과 어깨의 관절 및 근육을 풀어주는 재활적 운동기구입니다. 양쪽의 줄을 잘 잡고, 한쪽을 위로 천천히 끝까지 올렸다가 내리고, 반대쪽도 마찬가지로 반복하세요."
,윗몸일으키기,sit-up.jpg,https://youtu.be/wPGsSILGVao?t=538,"누운 자세에서 상체를 앞으로 굽혔다가 펴면서 전신의 근육을 강화시켜줍니다. 경추의 부담을 덜기 위해 턱을 아래로 당기고, 허리에 무리가 가지 않도록 속도와 각도를 조절하세요."
,사이클/자전거타기,cycling.jpg,https://youtu.be/I7sDRsJNvhY,"자전거를 타듯이 하체를 움직여 유산소 운동을 할 수 있습니다. 무릎 질환 환자의 경우 무리하지 않도록 주의하시고, 페달이 완전히 멈추기 전까지는 기구에서 내려오지 마세요."
,체스트풀/풀웨이트/하이풀리/역기내리기,chest-pull.jpg,https://youtu.be/wPGsSILGVao?t=776,"팔, 어깨, 등의 힘으로 체중을 당겨올려 상체의 근육을 강화시켜줍니다. 어깨 질환 환자의 경우 유의하시고, 부상을 입을 수 있으니 손잡이를 당긴 상태에서 갑자기 놓아버리지 마세요."
,체어웨이트/체스트프레스/역기올리기,chest-press.jpg,https://youtu.be/wPGsSILGVao?t=1020,"팔, 어깨, 가슴의 힘으로 체중을 밀어올려 상체의 근육을 강화시켜줍니다. 어깨 질환 환자의 경우 유의하시고, 부상을 입을 수 있으니 손잡이를 밀어낸 상태에서 갑자기 놓아버리지 마세요."
,체어풀/노젓기,chair-pull.jpg,https://youtu.be/Mjn6pO6Ezjk?t=150,"체중만큼 팔을 잡아당기고 다리를 밀어 전신 운동을 할 수 있습니다. 어깨는 내리고 상체는 곧게 편 자세로, 팔과 어깨가 직각이 되도록 손잡이를 잡아당기세요."
,하늘걷기/공중걷기,air-walking.jpg,https://youtu.be/gIScEWa3sQE?t=35,"심폐 지구력을 단련하는 유산소 운동 기구입니다. 두 발의 교차 각도가 과도하지 않도록 주의하시고, 상체를 앞으로 구부리지 말고 곧게 펴서 운동하세요."
,파도타기/롤링웨이스트,rolling-waist.jpg,https://youtu.be/wPGsSILGVao?t=274,"허리의 인대와 근육을 좌우로 부드럽게 풀어주는 운동기구입니다. 상체는 최대한 고정시키고 옆구리가 당길 각도로만 움직이시고, 부상 우려가 있으니 발판이 완전히 멈추기 전에는 기구에서 내려오지 마세요."
,허리돌리기/트위스트,waist-twist.jpg,https://youtu.be/wPGsSILGVao?t=7,허리와 골반을 유연하게 풀어주는 운동기구입니다. 상체는 최대한 고정시키고 허리는 약 30도 이내로 움직이세요. 발판을 과하게 돌리면 허리에 무리가 갈 수 있으니 주의하세요.
